reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
e86a869b-64f8-4140-81ca-b489adc656a5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Gak ikut prabayar kalo muter musik sering di matiin,1,10,8.9.96.476,2024-12-05 04:30:40,,,8.9.96.476
ebd2694e-5aa9-4a77-ac36-28d5a9d2afb7,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,dipake login kaga bisa kontol,1,6,8.9.64.548,2024-12-04 13:58:44,,,8.9.64.548
c8783178-4661-4f6e-a138-bab247fead31,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Premium nya di gratisin dong nanti kasih bintang 5🙃🙃🙃,4,7,8.9.94.470,2024-11-26 10:27:02,,,8.9.94.470
84e1086b-47ce-4bd9-9180-faae3e73e07a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Mantap enak lagu nya banyak swort art online,5,4,8.9.94.470,2024-11-24 16:04:16,,,8.9.94.470
cd8bec47-5ca3-40ce-ba1c-c6c0663a2f29,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Apk ini sangat bagus,5,1,8.9.94.470,2024-11-24 15:08:35,,,8.9.94.470
56ad0969-1ad1-4d4a-907f-d720a1a95887,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Dengan ini saya bisa semangat mengerjakan tugas atau melakukan kegiatan apapun,4,2,8.9.94.470,2024-11-24 15:08:20,,,8.9.94.470
9b2acb10-dc20-41cd-9eb1-4669c79068a4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Spotify nya banyak kali permium nya itu pun gak bisa bisa di skip lagi,2,4,8.9.40.509,2024-11-24 14:59:51,,,8.9.40.509
7577d69e-9588-4a2a-b2df-249abf129c3f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Menghibur sayangnya banyak iklan,5,0,8.9.94.470,2024-11-24 14:42:26,,,8.9.94.470
42f87730-4e7e-4162-93cf-d7b6be05cef4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Jngn suruh ber.bayar yaaaa,5,0,8.9.86.551,2024-11-24 14:35:53,,,8.9.86.551
5a6f9c44-63ab-4d0d-b678-d2dc0cc31e5f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Padahal dulu gak banyak iklan, sekarang malah kebanyakan iklan, apa² harus premium coba. Maksain banget buat beli premium. Jujur setelah update udah males pake Spotify, setiap mau ngulang atau ganti lagunya gak bisa karena harus premium dulu njir, males bet gw.",2,432,8.9.94.470,2024-11-24 14:25:26,,,8.9.94.470
e5bf16ac-a027-4b4f-a593-6c6c8787ac7e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Suka ngebug gak bisa di skip lagu nya,4,0,8.9.94.470,2024-11-24 14:22:11,,,8.9.94.470
c0658c2b-fa4b-451a-aa99-80d35d9ec7c4,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasinya bagus tapi lagu nya ga bisa di atur dendiri dan gabisa di dwonlod gratis, harus bayar",3,0,,2024-11-24 14:07:31,,,
8df04362-a4f3-43c8-a03e-e57608ca54f1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"gak masalah tentang jeda iklan,tapi yang paling gak suka, disuruh suruh premium",2,1,8.9.86.551,2024-11-24 13:53:07,,,8.9.86.551
d681b4a3-2870-4bb1-9b0d-563b63dc5934,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Sangat nggak sesuai mood harus di cari-cari lagu mana yang sesuai mood beda dengan aplikasi sebelah Re**o dan Ti*To* musik yang musiknya sesuai mood,3,0,,2024-11-24 13:50:22,,,
35b3f3d7-fecf-4ff3-8059-3b7df7a12d70,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Enak bgt bisa dengerin lagu dimana,5,0,8.9.94.470,2024-11-24 13:24:50,,,8.9.94.470
1de23841-7ac8-4b35-a571-5bfb1d95422a,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bisa menemukan lagu yang tak terduga,5,0,8.9.90.127,2024-11-24 13:22:18,,,8.9.90.127
f0a9cb5c-f184-4a46-8cb9-3f5d8011ad1d,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Bgus kok tpi iklannya tolong durasi nya 30 detik aja,5,0,8.9.94.470,2024-11-24 13:21:06,,,8.9.94.470
